"","Time","Infecteds","gamma_new"
"183",18,611.302482741366,0.6
"184",19,364.628230589775,0.6
"185",20,217.357987156543,0.6
"186",21,129.521414754817,0.6
"187",22,77.1637020681442,0.6
"188",23,45.9651034936779,0.6
"189",24,27.3785233228473,0.6
"190",25,16.3069179253798,0.6
"191",26,9.71229481494157,0.6
"192",27,5.78448698923732,0.6
"193",28,3.44511368100453,0.6
"194",29,2.05182269865219,0.6
"195",30,1.22200948219618,0.6
"196",31,0.727793921484329,0.6
"197",32,0.433452780429207,0.6
"198",33,0.258151443957357,0.6
"199",34,0.153747220078958,0.6
"200",35,0.0915672076450594,0.6
"201",36,0.0545346482466636,0.6
"202",37,0.0324791702377119,0.6
"203",38,0.0193436039566386,0.6
"204",39,0.0115204610657795,0.6
"205",40,0.00686121407331638,0.6
"206",0,1,0.7
"207",1,3.66911519040277,0.7
"208",2,13.4601144340532,0.7
"209",3,49.3477688822167,0.7
"210",4,180.510661512293,0.7
"211",5,654.872848952055,0.7
"212",6,2306.89216409179,0.7
"213",7,7366.54238959864,0.7
"214",8,17998.3929619602,0.7
"215",9,27413.4477835477,0.7
"216",10,26411.4391714656,0.7
"217",11,19431.2476578366,0.7
"218",12,12578.1734228996,0.7
"219",13,7666.53051960075,0.7
"220",14,4535.46462291697,0.7
"221",15,2641.69321949003,0.7
"222",16,1525.75633048141,0.7
"223",17,877.130853392344,0.7
"224",18,502.931421875099,0.7
"225",19,287.946227284445,0.7
"226",20,164.721288727597,0.7
"227",21,94.1847485310241,0.7
"228",22,53.8385563687822,0.7
"229",23,30.7707886366804,0.7
"230",24,17.5851198931622,0.7
"231",25,10.0491655140848,0.7
"232",26,5.7425139962761,0.7
"233",27,3.2814584957237,0.7
"234",28,1.875114031083,0.7
"235",29,1.07148505962201,0.7
"236",30,0.612270307257617,0.7
"237",31,0.349863991217021,0.7
"238",32,0.199919444290535,0.7
"239",33,0.1142379821308,0.7
"240",34,0.065277803427054,0.7
"241",35,0.0373010289103006,0.7
"242",36,0.0213145442881379,0.7
"243",37,0.0121795476636159,0.7
"244",38,0.00695960133130956,0.7
"245",39,0.00397694652635139,0.7
"246",40,0.00227252013467872,0.7
"247",0,1,0.8
"248",1,3.31995463265114,0.8
"249",2,11.0204385054465,0.8
"250",3,36.5636999988064,0.8
"251",4,121.111956913789,0.8
"252",5,398.992572764865,0.8
"253",6,1291.35256401677,0.8
"254",7,3953.28461106867,0.8
"255",8,10354.0775328415,0.8
"256",9,19434.4114443526,0.8
"257",10,23330.7473272848,0.8
"258",11,19576.9656201746,0.8
"259",12,13418.9153056879,0.8
"260",13,8315.1364141768,0.8
"261",14,4899.49138031416,0.8
"262",15,2812.93206132275,0.8
"263",16,1592.88416526382,0.8
"264",17,895.303507229599,0.8
"265",18,501.166938147694,0.8
"266",19,279.9078365278,0.8
"267",20,156.136756734542,0.8
"268",21,87.0348154327591,0.8
"269",22,48.4968765966153,0.8
"270",23,27.0172447970774,0.8
"271",24,15.0493093696551,0.8
"272",25,8.38229789715968,0.8
"273",26,4.6686747518352,0.8
"274",27,2.60025032869345,0.8
"275",28,1.44821036929868,0.8
"276",29,0.80657631661937,0.8
"277",30,0.449218533414745,0.8
"278",31,0.250189450902279,0.8
"279",32,0.139341193364981,0.8
"280",33,0.0776050592907316,0.8
"281",34,0.0432215492415933,0.8
"282",35,0.024071923410763,0.8
"283",36,0.013406671784802,0.8
"284",37,0.00746674127476546,0.8
"285",38,0.00415850713130642,0.8
"286",39,0.00231615751168494,0.8
"287",40,0.00128996261543029,0.8
